month_start,window_N,window_M,ic_score,is_optimal
2021-03-01,35,200,-0.02775197504786444,0
2021-03-01,40,200,-0.016168812512275615,0
2021-03-01,45,200,-0.06883522207605003,0
2021-03-01,50,200,-0.1346850866379713,0
2021-03-01,55,200,-0.14414846977844156,0
2021-03-01,60,200,-0.1475600398564019,0
2021-04-01,10,100,-0.07814193132522008,0
2021-04-01,15,100,-0.030847333403503967,0
2021-04-01,20,100,-0.11846351724804464,0
2021-04-01,25,100,-0.10863711711198805,0
2021-04-01,30,100,0.05614480666047589,0
2021-04-01,35,100,0.08163366705543976,1
2021-04-01,40,100,0.06428616111336469,0
2021-04-01,45,100,-0.019099442568052585,0
2021-04-01,50,100,-0.048939911836965264,0
2021-04-01,55,100,-0.08272552745455874,0
2021-04-01,60,100,-0.11565632441395915,0
2021-04-01,10,150,-0.0957617892431475,0
2021-04-01,15,150,-0.05567897775662349,0
2021-04-01,20,150,-0.1434069938188583,0
2021-04-01,25,150,-0.1329597015222803,0
2021-04-01,30,150,0.03132404818631695,0
2021-04-01,35,150,0.07699327037289755,0
2021-04-01,40,150,0.06632661052154548,0
2021-04-01,45,150,-0.014095234560675973,0
2021-04-01,50,150,-0.07746553622944514,0
2021-04-01,55,150,-0.13997338989766783,0
2021-04-01,60,150,-0.2081372555806378,0
2021-04-01,10,200,-0.07390319672788963,0
2021-04-01,15,200,-0.03730314193153905,0
2021-04-01,20,200,-0.12224803844723871,0
2021-04-01,25,200,-0.10325226021424543,0
2021-04-01,30,200,0.04581299524697635,0
2021-04-01,35,200,0.08093327395823191,0
2021-04-01,40,200,0.06916573430432506,0
2021-04-01,45,200,0.0022133831227390847,0
2021-04-01,50,200,-0.05203695564305092,0
2021-04-01,55,200,-0.09959501472011559,0
2021-04-01,60,200,-0.1473118912281515,0
2021-05-01,10,100,-0.19963734880933987,0
2021-05-01,15,100,-0.23188355263368807,0
2021-05-01,20,100,-0.16026971931450826,0
2021-05-01,25,100,-0.24531894362326298,0
2021-05-01,30,100,-0.03065307041110417,0
2021-05-01,35,100,-0.022113029490151405,0
2021-05-01,40,100,0.03246632069993513,0
2021-05-01,45,100,-0.07940515738758826,0
2021-05-01,50,100,-0.07952414767802836,0
2021-05-01,55,100,-0.11550601970003556,0
2021-05-01,60,100,-0.10664811131472357,0
2021-05-01,10,150,-0.20227830442460537,0
2021-05-01,15,150,-0.22294492024328808,0
2021-05-01,20,150,-0.13866965786411625,0
2021-05-01,25,150,-0.20903168777104775,0
2021-05-01,30,150,-0.045368090305927956,0
2021-05-01,35,150,-0.028850322581960408,0
2021-05-01,40,150,0.050647135239584126,1
2021-05-01,45,150,-0.05630401604751763,0
2021-05-01,50,150,-0.07004106659362073,0
2021-05-01,55,150,-0.14525892505222046,0
2021-05-01,60,150,-0.16349301327284593,0
2021-05-01,10,200,-0.1969463632574176,0
2021-05-01,15,200,-0.2335675808688022,0
2021-05-01,20,200,-0.15702856362253068,0
2021-05-01,25,200,-0.22609051698347146,0
2021-05-01,30,200,-0.03553350269235582,0
2021-05-01,35,200,-0.02578463431907704,0
2021-05-01,40,200,0.032880467110163764,0
2021-05-01,45,200,-0.06958513361650615,0
2021-05-01,50,200,-0.08129989713261714,0
2021-05-01,55,200,-0.12638364317663442,0
2021-05-01,60,200,-0.12496881876068174,0
2021-06-01,10,100,0.024736097535690955,1
2021-06-01,15,100,-0.11921932025372775,0
2021-06-01,20,100,-0.006635813256899623,0
2021-06-01,25,100,-0.17136613186628205,0
2021-06-01,30,100,-0.09206278771535212,0
2021-06-01,35,100,-0.08816568910846473,0
2021-06-01,40,100,-0.08771082936552568,0
2021-06-01,45,100,-0.2341190212347959,0
2021-06-01,50,100,-0.18538475934944162,0
2021-06-01,55,100,-0.14873006230719787,0
2021-06-01,60,100,-0.128041650137144,0
2021-06-01,10,150,-0.007273576960926549,0
2021-06-01,15,150,-0.13680611731317807,0
2021-06-01,20,150,-0.03459205186876511,0
2021-06-01,25,150,-0.17567929072065946,0
2021-06-01,30,150,-0.10444278473941261,0
2021-06-01,35,150,-0.0965671202173341,0
2021-06-01,40,150,-0.10280307516260827,0
2021-06-01,45,150,-0.21074568831206808,0
2021-06-01,50,150,-0.1535254722387276,0
2021-06-01,55,150,-0.10561876711935436,0
2021-06-01,60,150,-0.10485149747743527,0
2021-06-01,10,200,-0.009734950283069817,0
2021-06-01,15,200,-0.14013520186463763,0
2021-06-01,20,200,-0.028588070319980858,0
2021-06-01,25,200,-0.18161112088133988,0
2021-06-01,30,200,-0.11159329925052372,0
2021-06-01,35,200,-0.11054565676329199,0
2021-06-01,40,200,-0.1137410132326622,0
2021-06-01,45,200,-0.2351393144564721,0
2021-06-01,50,200,-0.18759459666120648,0
2021-06-01,55,200,-0.15160963352101373,0
2021-06-01,60,200,-0.1574230161702548,0
2021-07-01,10,100,0.23488481443737888,0
